vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,region,country,population,density,make_name,make_type
46,Moped,538,2005,TGB PALIO,Silver,11/9/2021,106,Hawke's Bay,New Zealand,182700,12.92,Factory Built,Standard
47,Trailer - Heavy,623,2004,TANDEM,Grey,11/5/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
48,Trailer,527,2021,TRAILER,Silver,3/2/2022,102,Auckland,New Zealand,1695200,343.09,Custombuilt,Standard
49,Trailer,623,2021,DOMESTIC,Grey,10/22/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
50,Trailer,623,2021,M J TANDEM AXLE,Silver,1/20/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
51,Trailer,514,2021,8X4 CAGE,Silver,12/7/2021,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
52,Caravan,537,2003,RIVIERA 482,White,10/13/2021,114,Canterbury,New Zealand,655000,14.72,Elddis,Standard
53,Roadbike,636,1995,XTZ660BG,Blue,3/21/2022,111,Nelson,New Zealand,54500,129.15,Yamaha,Standard
54,Roadbike,561,1999,NINJA,Green,2/15/2022,104,Bay of Plenty,New Zealand,347700,28.8,Kawasaki,Standard
55,Trailer - Heavy,623,2021,PRESCOTT,Silver,2/6/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
56,Trailer - Heavy,623,2000,BRIFORD,Yellow,3/5/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
57,Boat Trailer,623,2021,ASD JETSKI,Silver,2/21/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
58,Trailer,623,1997,BRIFORD 8X4-6COVERED,Yellow,11/5/2021,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
59,Trailer,623,2021,HOMEBUILT,Black,3/6/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
60,Trailer,623,1983,OLEARY,Red,1/2/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62,Trailer,Standard
61,Trailer,623,2021,TRAILERWORLD 9X5 HSB,Silver,3/26/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
62,Trailer,623,2018,SINGLE AXLE,Silver,10/10/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
63,Moped,550,2008,TODAY 50,Yellow,12/19/2021,104,Bay of Plenty,New Zealand,347700,28.8,Honda,Standard
64,Trailer,623,2018,IFOR WILLIAMS,Black,1/6/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
65,Trailer,623,2014,PRESCOTT,Silver,3/24/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
66,Boat Trailer,623,2014,SPORTLINE,Silver,10/21/2021,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
67,Hatchback,540,2006,FOCUS,Blue,11/13/2021,105,Gisborne,New Zealand,52100,6.21,Ford,Standard
68,Trailer - Heavy,623,2014,TILTING FLAT DECK,Silver,11/8/2021,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
69,Trailer,623,2014,PMTRAILER,Silver,1/24/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
70,Boat Trailer,551,2014,BOAT TRAILER,Silver,4/4/2022,103,Waikato,New Zealand,513800,21.5,Hoskings,Standard
71,Trailer,623,2014,TRAYLA,Silver,2/24/2022,107,Taranaki,New Zealand,127300,17.55,Trailer,Standard
72,Trailer,623,2014,ELITE,Silver,2/4/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
73,Trailer,623,2014,ELITE 7X4,Silver,1/14/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
74,Caravan,591,1969,PIONEER,White,11/27/2021,104,Bay of Plenty,New Zealand,347700,28.8,Oxford,Standard
75,Saloon,512,2007,323I,White,3/23/2022,102,Auckland,New Zealand,1695200,343.09,BMW,Luxury
76,Trailer,623,2015,7 X 4 STD,Silver,1/5/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
77,Trailer,623,2011,HOMEBUILT,Grey,4/2/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
78,Boat Trailer,623,2015,ENDURO,Silver,1/6/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
79,Trailer,623,2015,TRAYLA,Silver,2/28/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
80,Trailer,623,2015,ELITE 8X5,Silver,1/14/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
81,Trailer,623,2015,COMPASS D105,Silver,10/18/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
82,Trailer,623,2015,DOMESTIC TRAILER,Silver,3/16/2022,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
83,Trailer - Heavy,623,1998,TANK,White,1/18/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
84,Stationwagon,507,2015,ALLROAD,Silver,4/3/2022,109,Wellington,New Zealand,543500,67.52,Audi,Standard
85,Trailer,623,2015,ELITE 8X4,Silver,1/4/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
86,Roadbike,629,2001,PIAGGIO,Silver,12/6/2021,102,Auckland,New Zealand,1695200,343.09,Vespa,Standard
87,Trailer,623,2015,HELMACK 8X5,Silver,1/19/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
88,Trailer,623,1984,LOCAL,Yellow,3/21/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
89,Trailer,623,2015,SINGLE AXLE,Silver,3/1/2022,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
90,Boat Trailer,623,2008,BOAT,Silver,2/22/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
91,Trailer,623,1990,HOMEBUILT,Blue,1/20/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
92,Trailer,623,2000,PRESCOTT,Silver,3/8/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
93,Trailer,549,1996,TRAILER,Silver,3/24/2022,102,Auckland,New Zealand,1695200,343.09,Homebuilt,Standard
94,Trailer,623,2018,COMPASS-C85,Silver,3/18/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
95,Trailer,616,2018,DOMESTIC TRAILER,Silver,12/28/2021,102,Auckland,New Zealand,1695200,343.09,Titan,Standard
96,Trailer,527,1985,TANDEM,Silver,1/13/2022,102,Auckland,New Zealand,1695200,343.09,Custombuilt,Standard
97,Roadbike,550,2005,VT,Red,3/19/2022,102,Auckland,New Zealand,1695200,343.09,Honda,Standard
98,Roadbike,550,2000,CBR,Blue,1/31/2022,114,Canterbury,New Zealand,655000,14.72,Honda,Standard
99,Trailer,623,2022,HOMEBUILT,Black,2/14/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
100,Boat Trailer,623,2021,JETSKI ACTION LAB,Grey,12/30/2021,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
101,Trailer,623,2000,HOMEBUILT,Silver,1/29/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
102,Trailer,549,2022,TRAILER,Black,3/12/2022,104,Bay of Plenty,New Zealand,347700,28.8,Homebuilt,Standard
103,Trailer,623,1998,MARTIN ENGINEERING,White,3/28/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
104,Trailer,623,2018,TUFF,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
105,Trailer,623,1977,LOCAL,Brown,12/3/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
106,Trailer - Heavy,623,2018,8X4 TRAYLA,Silver,2/1/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
107,Trailer,623,1980,HOMEMADE,Blue,3/20/2022,111,Nelson,New Zealand,54500,129.15,Trailer,Standard
108,Trailer - Heavy,623,2018,NYMIC,White,4/3/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
109,Trailer,623,2022,TRAILER,Silver,2/9/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
110,Trailer,623,2019,TANDEM,Grey,2/23/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
111,Trailer,623,2022,COMPASS-D116K,Silver,3/15/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
112,Roadbike,545,2004,FXSTDI,Red,1/16/2022,102,Auckland,New Zealand,1695200,343.09,Harley Davidson,Standard
113,Trailer,623,1967,LOCAL,Grey,10/19/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
114,Caravan,519,2006,SWIFT CHARISMA 230,White,2/27/2022,102,Auckland,New Zealand,1695200,343.09,Caravan,Standard
115,Trailer,623,2018,TANK,Silver,3/29/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
116,Tractor,575,2007,FERGUSSON,Red,1/23/2022,103,Waikato,New Zealand,513800,21.5,Massey,Standard
117,Trailer,623,2022,BST85,Silver,3/15/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
118,Roadbike,611,2003,LS650P,Black,12/3/2021,101,Northland,New Zealand,201500,16.11,Suzuki,Standard
119,Boat Trailer,626,2022,JET SKI,Black,3/19/2022,102,Auckland,New Zealand,1695200,343.09,Trojan,Standard
120,Trailer,623,2022,VULCAN,Silver,3/4/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
121,Boat Trailer,549,1989,EZ LOADER STABI CRAF,Grey,10/12/2021,114,Canterbury,New Zealand,655000,14.72,Homebuilt,Standard
122,Boat Trailer,623,2017,MCLAY,Silver,3/19/2022,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
123,Trailer,623,2019,ENSOL TANKER,Silver,2/28/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62,Trailer,Standard
124,Roadbike,561,2008,EX,Red,4/2/2022,102,Auckland,New Zealand,1695200,343.09,Kawasaki,Standard
125,Moped,585,2008,HYOSUNG SB49M,Red,1/29/2022,102,Auckland,New Zealand,1695200,343.09,Moped,Standard
126,Trailer,623,1996,BRIFORD,Grey,3/13/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
127,Boat Trailer,623,2000,REID,Silver,2/3/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
128,Boat Trailer,549,1994,15X7,White,1/1/2022,114,Canterbury,New Zealand,655000,14.72,Homebuilt,Standard
129,Trailer,623,1998,KEA,Grey,11/16/2021,111,Nelson,New Zealand,54500,129.15,Trailer,Standard
130,Trailer,623,2019,ROADCHIEF,Grey,1/20/2022,101,Northland,New Zealand,201500,16.11,Trailer,Standard
131,Roadbike,565,2002,EXC,Orange,2/13/2022,101,Northland,New Zealand,201500,16.11,KTM,Standard
132,Trailer,623,2019,JOBMATE,Silver,3/13/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
133,Trailer,623,2022,ENSOL TANKER,Silver,4/1/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62,Trailer,Standard
134,Trailer,623,2019,BRAKED TANDEM,Silver,12/17/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
135,Trailer,623,1980,HARENG,Grey,12/31/2021,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
136,Trailer,623,2019,HOMEBUILT,Silver,3/13/2022,115,Otago,New Zealand,246000,7.89,Trailer,Standard
137,Trailer,616,2019,DOMESTIC TRAILER,Silver,10/29/2021,102,Auckland,New Zealand,1695200,343.09,Titan,Standard
138,Trailer,623,1962,HOMEMADE,Green,2/16/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
139,Trailer,623,1997,SPACEE 2000,White,11/16/2021,107,Taranaki,New Zealand,127300,17.55,Trailer,Standard
140,Trailer,514,2018,8X4 TANDEM TIPPER,Silver,3/18/2022,114,Canterbury,New Zealand,655000,14.72,Briford,Standard
141,Trailer,538,2019,BRENT SMITH TRAILERS,Silver,12/30/2021,109,Wellington,New Zealand,543500,67.52,Factory Built,Standard
142,Trailer,623,2019,TASMAN8X5TB,Silver,10/10/2021,111,Nelson,New Zealand,54500,129.15,Trailer,Standard
143,Boat Trailer,623,2019,MAKZ,Silver,12/14/2021,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
144,Trailer,595,2019,ENCLOSED TRAILER,Silver,10/19/2021,102,Auckland,New Zealand,1695200,343.09,Pinto,Standard
145,Trailer,623,2019,ELITE 8X4,Silver,2/28/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
146,Trailer - Heavy,623,2019,TRANSPORTER,Silver,12/27/2021,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
147,Trailer,623,2019,DOMESTIC,Grey,3/9/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
148,Trailer,538,2015,DOMESTIC TRAILER,Silver,3/21/2022,101,Northland,New Zealand,201500,16.11,Factory Built,Standard
149,Trailer - Heavy,514,2015,TRAILER 8X4,Silver,12/8/2021,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
150,Caravan,519,2008,XPLORE 452,White,12/26/2021,104,Bay of Plenty,New Zealand,347700,28.8,Caravan,Standard
151,Trailer,595,2015,BRAKED TANDEM,Silver,2/18/2022,103,Waikato,New Zealand,513800,21.5,Pinto,Standard
152,Trailer,623,2015,HOBBS,Silver,11/12/2021,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
153,Trailer,623,2015,WILPRO,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
154,Trailer - Heavy,514,2015,TRAILER,Silver,1/24/2022,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
155,Trailer - Heavy,514,2015,TRAILER,Silver,3/8/2022,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
156,Trailer - Heavy,514,2015,OTHER COMMERCIAL TRA,Silver,1/6/2022,114,Canterbury,New Zealand,655000,14.72,Briford,Standard
157,Trailer,623,2015,SINGLE AXLE 7X4,Silver,2/19/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
158,Caravan,606,2007,ALPINE  4T2A,White,1/29/2022,109,Wellington,New Zealand,543500,67.52,Sprite,Standard
159,Trailer,623,2015,FACTORY BUILT,Silver,1/10/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
160,Saloon,587,1989,SKYLINE,Blue,2/3/2022,109,Wellington,New Zealand,543500,67.52,Nissan,Standard
161,Boat Trailer,623,2015,YAMAHA VXR,Silver,11/10/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
162,Trailer - Heavy,514,2015,TRAILER,Silver,10/12/2021,109,Wellington,New Zealand,543500,67.52,Briford,Standard
163,Trailer,623,2015,ROADLINE,Silver,10/30/2021,101,Northland,New Zealand,201500,16.11,Trailer,Standard
164,Trailer,623,2015,TRAYLA,Silver,1/13/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
165,Trailer - Heavy,514,2015,TRAILER,Silver,12/31/2021,103,Waikato,New Zealand,513800,21.5,Briford,Standard
166,Trailer - Heavy,514,2015,TRAILER,Silver,12/8/2021,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
167,Caravan,525,1972,HALF VISTA,Red,3/16/2022,104,Bay of Plenty,New Zealand,347700,28.8,Classic,Standard
168,Trailer - Heavy,623,2015,CANTERBURY FABRICAT,White,3/8/2022,107,Taranaki,New Zealand,127300,17.55,Trailer,Standard
169,Trailer,623,2015,4.5M FLATDECK,Silver,1/28/2022,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
170,Trail Bike,565,2020,SFX,Orange,11/8/2021,114,Canterbury,New Zealand,655000,14.72,KTM,Standard
171,Trailer,623,2016,ELITE 8X4,Silver,3/30/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
172,Trailer,623,2019,ROADCHIEF 8X5,Silver,3/24/2022,115,Otago,New Zealand,246000,7.89,Trailer,Standard
173,Trailer,623,1998,LOCAL,Silver,12/25/2021,107,Taranaki,New Zealand,127300,17.55,Trailer,Standard
174,Boat Trailer,623,2012,BOAT,Silver,12/22/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
175,Trailer - Heavy,623,2019,MM INDUSTRIES,Silver,10/11/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
176,Trailer,562,2019,KC85E,Silver,4/1/2022,104,Bay of Plenty,New Zealand,347700,28.8,Kea,Standard
177,Trailer,562,2019,KC106AB,Silver,3/29/2022,103,Waikato,New Zealand,513800,21.5,Kea,Standard
178,Boat Trailer,623,2019,BOAT TRAILER,Silver,2/12/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
179,Trailer - Heavy,562,2019,CAGE,Silver,11/24/2021,103,Waikato,New Zealand,513800,21.5,Kea,Standard
180,Moped,629,1963,SPORTIQUE,Cream,12/7/2021,115,Otago,New Zealand,246000,7.89,Vespa,Standard
181,Trailer,514,2019,5X4,Silver,11/2/2021,114,Canterbury,New Zealand,655000,14.72,Briford,Standard
182,Trailer,623,2019,CTDIG,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
183,Roadbike,611,2005,DR-Z400,Yellow,10/12/2021,114,Canterbury,New Zealand,655000,14.72,Suzuki,Standard
184,Trailer,599,2019,DOMESTIC TRAILER,Grey,10/28/2021,101,Northland,New Zealand,201500,16.11,Rhino,Standard
185,Trailer,549,1990,TRAILER,Blue,3/19/2022,109,Wellington,New Zealand,543500,67.52,Homebuilt,Standard
186,Trailer,623,1981,HOMEMADE,Grey,2/16/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
187,Trailer,623,2019,TRAYLA,Silver,2/4/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
188,Boat Trailer,513,2019,357J,Silver,12/16/2021,102,Auckland,New Zealand,1695200,343.09,Bricon,Standard
189,Trailer,623,2019,SMASH PALACE,Silver,3/7/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
190,Trailer,623,1996,BRIFORD 5X4 SHUTTLE,White,10/31/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
191,Trailer,623,2019,DIAMOND,Silver,1/19/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
192,Trailer,562,2019,K844XA,Silver,4/2/2022,103,Waikato,New Zealand,513800,21.5,Kea,Standard
193,Trailer,623,2019,TUFF,Silver,11/1/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
194,Caravan,623,2006,DMW,White,12/7/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
195,Trailer - Heavy,514,2015,TRAILER,Silver,3/8/2022,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
196,Trailer,623,1979,HOMEMADE,Green,12/2/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
197,Trailer - Heavy,623,2019,CABLE DRUM,Silver,3/13/2022,111,Nelson,New Zealand,54500,129.15,Trailer,Standard
198,Trailer,623,1999,LOCAL,Silver,2/2/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
199,Trailer,623,1998,KING,Silver,2/19/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
200,Trailer,623,2001,HOME BUILT,Grey,10/14/2021,115,Otago,New Zealand,246000,7.89,Trailer,Standard
201,Trailer - Heavy,623,2019,IFOR WILLIAMS,Silver,1/7/2022,101,Northland,New Zealand,201500,16.11,Trailer,Standard
202,Trailer,623,1977,LOCAL,Orange,10/25/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
203,Roadbike,625,2004,SPEEDTRIPLE,Red,2/10/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62,Triumph,Standard
204,Trailer,623,2019,DOLY,Grey,11/29/2021,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
205,Trailer,623,2019,SINGLE AXLE,Grey,12/15/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
206,Roadbike,611,2005,GN250,Black,4/2/2022,102,Auckland,New Zealand,1695200,343.09,Suzuki,Standard
207,Roadbike,550,1985,XL250,White,3/27/2022,109,Wellington,New Zealand,543500,67.52,Honda,Standard
208,Trailer,623,2019,ROOFLINE,Grey,2/14/2022,111,Nelson,New Zealand,54500,129.15,Trailer,Standard
209,Trailer,623,2019,T D ENGINEERING,Silver,3/17/2022,107,Taranaki,New Zealand,127300,17.55,Trailer,Standard
210,Trailer,623,2015,TRADETESTED 7 X 4,Silver,10/12/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
211,Trailer,623,2015,VULCAN,Silver,11/1/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
212,Trailer,623,2016,HOME MADE,Grey,3/1/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
213,Caravan,504,1976,CARAVAN,White,12/1/2021,102,Auckland,New Zealand,1695200,343.09,Anglo,Standard
214,Trailer - Heavy,597,2015,TRAILER,Silver,10/11/2021,102,Auckland,New Zealand,1695200,343.09,Reid,Standard
215,Trailer,572,2015,DOMESTIC TRAILER,Silver,4/3/2022,115,Otago,New Zealand,246000,7.89,Lochiel,Standard
216,Trailer,514,2008,TRAILER 8X4,Silver,2/10/2022,102,Auckland,New Zealand,1695200,343.09,Briford,Standard
217,Trailer - Heavy,623,1985,SLOAN,Blue,2/22/2022,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
218,Trailer,616,2015,7X4,Silver,12/23/2021,102,Auckland,New Zealand,1695200,343.09,Titan,Standard
219,Trailer,623,2002,HOMEBUILT,Grey,1/31/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
220,Trailer,623,2016,DOMESTIC,Silver,11/22/2021,101,Northland,New Zealand,201500,16.11,Trailer,Standard
221,Boat Trailer,623,2000,JETSKI,Black,12/25/2021,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
222,Trailer,623,2016,TANDEM,Silver,4/4/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
